step,loss,chosen_avg_reward,rejected_avg_reward,reward_margin,kl,entropy,preference_accuracy
1,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
2,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
3,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
4,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
5,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
6,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
7,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
8,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
9,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
10,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
11,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
12,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
13,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
14,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
15,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
16,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
17,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
18,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
19,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
20,2.1269,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
